Epoch	Train Acc	Test Acc	Loss	Time (s)	LR
1	0.9678	0.9598	0.2427	6.8	0.010000
2	0.9821	0.9683	0.1199	12.8	0.010000
3	0.9869	0.9701	0.0884	12.0	0.010000
4	0.9899	0.9721	0.0711	12.3	0.010000
5	0.9931	0.9758	0.0611	12.2	0.010000
6	0.9938	0.9747	0.0511	13.3	0.010000
7	0.9945	0.9762	0.0450	14.0	0.010000
8	0.9962	0.9780	0.0379	12.2	0.010000
9	0.9966	0.9784	0.0349	12.9	0.010000
10	0.9971	0.9771	0.0310	12.1	0.010000
